"Timestamp","เพศ","ช่วงอายุ","แนวเกม","เกมที่เล่น #1","เกมที่เล่น #2","Platform ที่เล่นบ่อยที่สุด"
"2018/11/23 8:58:01 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;Card;RPG;Racing;Puzzle;Sports;Music;MOBA;Other","DBDL","PB","PC"
"2018/11/23 8:58:23 PM GMT+7","ชาย","16 - 22ปี","MOBA","LOL","CSGO (ไม่มีโหมด FPS เหรอครับ)","PC"
"2018/11/23 8:59:18 PM GMT+7","ชาย","9 - 15ปี","Action;Adventure;Arcade;MOBA","League of legends","Arena of valor","PC"
"2018/11/23 9:02:24 PM GMT+7","ชาย","23 - 29ปี","Action;Adventure;Card;RPG;Puzzle;MOBA","League of Legend","Darkest Dungeon","PC"
"2018/11/23 9:03:03 PM GMT+7","ชาย","16 - 22ปี","Action;MOBA","League of Legends","Counter-Strike : Global Offensive","PC"
"2018/11/23 9:06:19 PM GMT+7","ชาย","9 - 15ปี","MOBA;Other","LOL","Roblox","PC"
"2018/11/23 9:07:47 PM GMT+7","ชาย","16 - 22ปี","MOBA","Hon","LOL","PC"
"2018/11/23 9:09:33 PM GMT+7","หญิง","16 - 22ปี","Music;MOBA","audition","Lol","PC"
"2018/11/23 9:10:00 PM GMT+7","ชาย","9 - 15ปี","Action;Adventure;Arcade;Card;RPG;Racing;Puzzle;Sports;Music;MOBA","League of Legends","DOTA 2","PC"
"2018/11/23 9:14:34 PM GMT+7","หญิง","9 - 15ปี","Arcade;Card;RPG;Music;MOBA;Other","LoL","Freefire","Mobile"
"2018/11/23 9:15:08 PM GMT+7","ชาย","16 - 22ปี","MOBA","League of legends ","dota2","PC"
"2018/11/23 9:16:39 PM GMT+7","ชาย","9 - 15ปี","RPG","ฟอดไนท์","พับจีโมบาย","PC"
"2018/11/23 9:16:41 PM GMT+7","ชาย","16 - 22ปี","Adventure;MOBA","LOL ","Ro m","PC"
"2018/11/23 9:17:13 PM GMT+7","ไม่ต้องการระบุ","16 - 22ปี","Action;Adventure;MOBA","LOL","Dragon nest","PC"
"2018/11/23 9:17:40 PM GMT+7","ชาย","9 - 15ปี","Action;Adventure;Arcade;Card;RPG;MOBA","League of Legends","Fate/Grand Order","PC"
"2018/11/23 9:22:53 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;Racing","Killing Floor 2","Grim Dawn","PC"
"2018/11/23 9:24:58 PM GMT+7","ชาย","9 - 15ปี","MOBA","LOL","HON","PC"
"2018/11/23 9:25:10 PM GMT+7","ชาย","16 - 22ปี","Action;RPG;Sports;MOBA","Lol","Rov","Mobile"
"2018/11/23 9:26:33 PM GMT+7","ชาย","9 - 15ปี","Action;RPG;Racing;Puzzle;Music;MOBA","lol","bns","PC"
"2018/11/23 9:28:16 PM GMT+7","ชาย","9 - 15ปี","Action;RPG","bns","7k","PC"
"2018/11/23 9:28:47 PM GMT+7","ชาย","16 - 22ปี","MOBA","League of Legends","ไม่รู้จะตอบไร","PC"
"2018/11/23 9:29:26 PM GMT+7","ไม่ต้องการระบุ","9 - 15ปี","Action;RPG;Music;MOBA","League of Legends","black desert online","PC"
"2018/11/23 9:35:13 PM GMT+7","ชาย","16 - 22ปี","Action;MOBA","Lol","Pubg","Mobile"
"2018/11/23 9:35:55 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;Puzzle;MOBA","LOL","Minecraft","PC"
"2018/11/23 9:38:56 PM GMT+7","ชาย","16 - 22ปี","MOBA","League of Legends","Dota 2 ","PC"
"2018/11/23 9:38:59 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;Card;RPG;Puzzle;MOBA;Other","league of legent","harth stone","PC"
"2018/11/23 9:39:10 PM GMT+7","ชาย","16 - 22ปี","RPG","Assassin's Creed Odyssey","Final Fantasy XV","Consoles"
"2018/11/23 9:42:13 PM GMT+7","ชาย","16 - 22ปี","Action;Card;RPG;Music;MOBA","league of legend","Azur Lane","PC"
"2018/11/23 9:44:31 PM GMT+7","หญิง","9 - 15ปี","Card;RPG;MOBA","LOL","Yugi","PC"
"2018/11/23 9:49:09 PM GMT+7","ชาย","16 - 22ปี","Action;MOBA","League of legends ","Fortnite ","PC"
"2018/11/23 9:50:22 PM GMT+7","ชาย","16 - 22ปี","Action;Arcade;RPG;MOBA","LOL ","OW","PC"
"2018/11/23 9:52:52 PM GMT+7","ชาย","16 - 22ปี","RPG;Sports","LOL","xshot","PC"
"2018/11/23 9:58:36 PM GMT+7","หญิง","16 - 22ปี","Adventure;RPG;Puzzle;MOBA","AQW","LoL","PC"
"2018/11/23 10:07:08 PM GMT+7","หญิง","16 - 22ปี","Action;Adventure;Puzzle;Music;MOBA","Free fire","ROV","Mobile"
"2018/11/23 10:11:34 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;Racing;MOBA","ิBattlefield","LOL","PC"
"2018/11/23 10:17:37 PM GMT+7","ชาย","16 - 22ปี","Action;RPG;Sports;MOBA","ragnarok m","battlefield v","Mobile"
"2018/11/23 10:26:53 PM GMT+7","ไม่ต้องการระบุ","16 - 22ปี","Action;RPG;Music;MOBA","LoL","Elsword","PC"
"2018/11/23 10:48:10 PM GMT+7","ชาย","16 - 22ปี","Action;RPG;Racing;Other","Guild Wars 2","CSGO","PC"
"2018/11/23 10:53:36 PM GMT+7","ชาย","16 - 22ปี","RPG;MOBA","league of legends","seven knight ในมือถือ","PC"
"2018/11/23 10:55:51 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;Card;RPG;MOBA","LOL","ROV","PC"
